name,label,concept,sex,age,ccdph_population_2010
PCT003003,Total!!Male!!Under 1 year,SEX BY AGE,Male,Under 1 year,13979
PCT003004,Total!!Male!!1 year,SEX BY AGE,Male,1 year,14177
PCT003005,Total!!Male!!2 years,SEX BY AGE,Male,2 years,14726
PCT003006,Total!!Male!!3 years,SEX BY AGE,Male,3 years,14945
PCT003007,Total!!Male!!4 years,SEX BY AGE,Male,4 years,15164
PCT003008,Total!!Male!!5 years,SEX BY AGE,Male,5 years,15158
PCT003009,Total!!Male!!6 years,SEX BY AGE,Male,6 years,15655
PCT003010,Total!!Male!!7 years,SEX BY AGE,Male,7 years,15363
PCT003011,Total!!Male!!8 years,SEX BY AGE,Male,8 years,15480
PCT003012,Total!!Male!!9 years,SEX BY AGE,Male,9 years,15710
PCT003013,Total!!Male!!10 years,SEX BY AGE,Male,10 years,16110
PCT003014,Total!!Male!!11 years,SEX BY AGE,Male,11 years,15935
PCT003015,Total!!Male!!12 years,SEX BY AGE,Male,12 years,16424
PCT003016,Total!!Male!!13 years,SEX BY AGE,Male,13 years,16647
PCT003017,Total!!Male!!14 years,SEX BY AGE,Male,14 years,17287
PCT003018,Total!!Male!!15 years,SEX BY AGE,Male,15 years,17816
PCT003019,Total!!Male!!16 years,SEX BY AGE,Male,16 years,17758
PCT003020,Total!!Male!!17 years,SEX BY AGE,Male,17 years,18144
PCT003021,Total!!Male!!18 years,SEX BY AGE,Male,18 years,16155
PCT003022,Total!!Male!!19 years,SEX BY AGE,Male,19 years,13526
PCT003023,Total!!Male!!20 years,SEX BY AGE,Male,20 years,13236
PCT003024,Total!!Male!!21 years,SEX BY AGE,Male,21 years,12647
PCT003025,Total!!Male!!22 years,SEX BY AGE,Male,22 years,13335
PCT003026,Total!!Male!!23 years,SEX BY AGE,Male,23 years,14015
PCT003027,Total!!Male!!24 years,SEX BY AGE,Male,24 years,14593
PCT003028,Total!!Male!!25 years,SEX BY AGE,Male,25 years,14513
PCT003029,Total!!Male!!26 years,SEX BY AGE,Male,26 years,14117
PCT003030,Total!!Male!!27 years,SEX BY AGE,Male,27 years,14406
PCT003031,Total!!Male!!28 years,SEX BY AGE,Male,28 years,14272
PCT003032,Total!!Male!!29 years,SEX BY AGE,Male,29 years,14344
PCT003033,Total!!Male!!30 years,SEX BY AGE,Male,30 years,14882
PCT003034,Total!!Male!!31 years,SEX BY AGE,Male,31 years,13770
PCT003035,Total!!Male!!32 years,SEX BY AGE,Male,32 years,13877
PCT003036,Total!!Male!!33 years,SEX BY AGE,Male,33 years,13782
PCT003037,Total!!Male!!34 years,SEX BY AGE,Male,34 years,13896
PCT003038,Total!!Male!!35 years,SEX BY AGE,Male,35 years,14229
PCT003039,Total!!Male!!36 years,SEX BY AGE,Male,36 years,13554
PCT003040,Total!!Male!!37 years,SEX BY AGE,Male,37 years,13953
PCT003041,Total!!Male!!38 years,SEX BY AGE,Male,38 years,14863
PCT003042,Total!!Male!!39 years,SEX BY AGE,Male,39 years,15136
PCT003043,Total!!Male!!40 years,SEX BY AGE,Male,40 years,15380
PCT003044,Total!!Male!!41 years,SEX BY AGE,Male,41 years,14607
PCT003045,Total!!Male!!42 years,SEX BY AGE,Male,42 years,14763
PCT003046,Total!!Male!!43 years,SEX BY AGE,Male,43 years,14671
PCT003047,Total!!Male!!44 years,SEX BY AGE,Male,44 years,15177
PCT003048,Total!!Male!!45 years,SEX BY AGE,Male,45 years,15886
PCT003049,Total!!Male!!46 years,SEX BY AGE,Male,46 years,15639
PCT003050,Total!!Male!!47 years,SEX BY AGE,Male,47 years,16088
PCT003051,Total!!Male!!48 years,SEX BY AGE,Male,48 years,16421
PCT003052,Total!!Male!!49 years,SEX BY AGE,Male,49 years,16873
PCT003053,Total!!Male!!50 years,SEX BY AGE,Male,50 years,17388
PCT003054,Total!!Male!!51 years,SEX BY AGE,Male,51 years,16615
PCT003055,Total!!Male!!52 years,SEX BY AGE,Male,52 years,17038
PCT003056,Total!!Male!!53 years,SEX BY AGE,Male,53 years,16629
PCT003057,Total!!Male!!54 years,SEX BY AGE,Male,54 years,16041
PCT003058,Total!!Male!!55 years,SEX BY AGE,Male,55 years,16004
PCT003059,Total!!Male!!56 years,SEX BY AGE,Male,56 years,14673
PCT003060,Total!!Male!!57 years,SEX BY AGE,Male,57 years,14386
PCT003061,Total!!Male!!58 years,SEX BY AGE,Male,58 years,13735
PCT003062,Total!!Male!!59 years,SEX BY AGE,Male,59 years,13269
PCT003063,Total!!Male!!60 years,SEX BY AGE,Male,60 years,12972
PCT003064,Total!!Male!!61 years,SEX BY AGE,Male,61 years,12340
PCT003065,Total!!Male!!62 years,SEX BY AGE,Male,62 years,12512
PCT003066,Total!!Male!!63 years,SEX BY AGE,Male,63 years,11975
PCT003067,Total!!Male!!64 years,SEX BY AGE,Male,64 years,9183
PCT003068,Total!!Male!!65 years,SEX BY AGE,Male,65 years,8573
PCT003069,Total!!Male!!66 years,SEX BY AGE,Male,66 years,8814
PCT003070,Total!!Male!!67 years,SEX BY AGE,Male,67 years,8901
PCT003071,Total!!Male!!68 years,SEX BY AGE,Male,68 years,7760
PCT003072,Total!!Male!!69 years,SEX BY AGE,Male,69 years,6863
PCT003073,Total!!Male!!70 years,SEX BY AGE,Male,70 years,6383
PCT003074,Total!!Male!!71 years,SEX BY AGE,Male,71 years,6175
PCT003075,Total!!Male!!72 years,SEX BY AGE,Male,72 years,6084
PCT003076,Total!!Male!!73 years,SEX BY AGE,Male,73 years,5582
PCT003077,Total!!Male!!74 years,SEX BY AGE,Male,74 years,5339
PCT003078,Total!!Male!!75 years,SEX BY AGE,Male,75 years,5201
PCT003079,Total!!Male!!76 years,SEX BY AGE,Male,76 years,4625
PCT003080,Total!!Male!!77 years,SEX BY AGE,Male,77 years,4675
PCT003081,Total!!Male!!78 years,SEX BY AGE,Male,78 years,4446
PCT003082,Total!!Male!!79 years,SEX BY AGE,Male,79 years,4528
PCT003083,Total!!Male!!80 years,SEX BY AGE,Male,80 years,4305
PCT003084,Total!!Male!!81 years,SEX BY AGE,Male,81 years,3945
PCT003085,Total!!Male!!82 years,SEX BY AGE,Male,82 years,3772
PCT003086,Total!!Male!!83 years,SEX BY AGE,Male,83 years,3455
PCT003087,Total!!Male!!84 years,SEX BY AGE,Male,84 years,3125
PCT003088,Total!!Male!!85 years,SEX BY AGE,Male,85 years,2885
PCT003089,Total!!Male!!86 years,SEX BY AGE,Male,86 years,2576
PCT003090,Total!!Male!!87 years,SEX BY AGE,Male,87 years,2080
PCT003091,Total!!Male!!88 years,SEX BY AGE,Male,88 years,1837
PCT003092,Total!!Male!!89 years,SEX BY AGE,Male,89 years,1490
PCT003093,Total!!Male!!90 years,SEX BY AGE,Male,90 years,1106
PCT003094,Total!!Male!!91 years,SEX BY AGE,Male,91 years,899
PCT003095,Total!!Male!!92 years,SEX BY AGE,Male,92 years,698
PCT003096,Total!!Male!!93 years,SEX BY AGE,Male,93 years,525
PCT003097,Total!!Male!!94 years,SEX BY AGE,Male,94 years,366
PCT003098,Total!!Male!!95 years,SEX BY AGE,Male,95 years,295
PCT003099,Total!!Male!!96 years,SEX BY AGE,Male,96 years,186
PCT003100,Total!!Male!!97 years,SEX BY AGE,Male,97 years,137
PCT003101,Total!!Male!!98 years,SEX BY AGE,Male,98 years,74
PCT003102,Total!!Male!!99 years,SEX BY AGE,Male,99 years,50
PCT003103,Total!!Male!!100 to 104 years,SEX BY AGE,Male,100 to 104 years,62
PCT003104,Total!!Male!!105 to 109 years,SEX BY AGE,Male,105 to 109 years,4
PCT003105,Total!!Male!!110 years and over,SEX BY AGE,Male,110 years and over,1
PCT003107,Total!!Female!!Under 1 year,SEX BY AGE,Female,Under 1 year,13106
PCT003108,Total!!Female!!1 year,SEX BY AGE,Female,1 year,13827
PCT003109,Total!!Female!!2 years,SEX BY AGE,Female,2 years,14286
PCT003110,Total!!Female!!3 years,SEX BY AGE,Female,3 years,14451
PCT003111,Total!!Female!!4 years,SEX BY AGE,Female,4 years,14288
PCT003112,Total!!Female!!5 years,SEX BY AGE,Female,5 years,14619
PCT003113,Total!!Female!!6 years,SEX BY AGE,Female,6 years,14645
PCT003114,Total!!Female!!7 years,SEX BY AGE,Female,7 years,14685
PCT003115,Total!!Female!!8 years,SEX BY AGE,Female,8 years,15030
PCT003116,Total!!Female!!9 years,SEX BY AGE,Female,9 years,15318
PCT003117,Total!!Female!!10 years,SEX BY AGE,Female,10 years,15376
PCT003118,Total!!Female!!11 years,SEX BY AGE,Female,11 years,15525
PCT003119,Total!!Female!!12 years,SEX BY AGE,Female,12 years,15628
PCT003120,Total!!Female!!13 years,SEX BY AGE,Female,13 years,15784
PCT003121,Total!!Female!!14 years,SEX BY AGE,Female,14 years,16178
PCT003122,Total!!Female!!15 years,SEX BY AGE,Female,15 years,16690
PCT003123,Total!!Female!!16 years,SEX BY AGE,Female,16 years,16708
PCT003124,Total!!Female!!17 years,SEX BY AGE,Female,17 years,17025
PCT003125,Total!!Female!!18 years,SEX BY AGE,Female,18 years,14665
PCT003126,Total!!Female!!19 years,SEX BY AGE,Female,19 years,12085
PCT003127,Total!!Female!!20 years,SEX BY AGE,Female,20 years,12011
PCT003128,Total!!Female!!21 years,SEX BY AGE,Female,21 years,11793
PCT003129,Total!!Female!!22 years,SEX BY AGE,Female,22 years,12786
PCT003130,Total!!Female!!23 years,SEX BY AGE,Female,23 years,13710
PCT003131,Total!!Female!!24 years,SEX BY AGE,Female,24 years,14026
PCT003132,Total!!Female!!25 years,SEX BY AGE,Female,25 years,14056
PCT003133,Total!!Female!!26 years,SEX BY AGE,Female,26 years,13812
PCT003134,Total!!Female!!27 years,SEX BY AGE,Female,27 years,14765
PCT003135,Total!!Female!!28 years,SEX BY AGE,Female,28 years,14318
PCT003136,Total!!Female!!29 years,SEX BY AGE,Female,29 years,14750
PCT003137,Total!!Female!!30 years,SEX BY AGE,Female,30 years,14877
PCT003138,Total!!Female!!31 years,SEX BY AGE,Female,31 years,13863
PCT003139,Total!!Female!!32 years,SEX BY AGE,Female,32 years,14187
PCT003140,Total!!Female!!33 years,SEX BY AGE,Female,33 years,14391
PCT003141,Total!!Female!!34 years,SEX BY AGE,Female,34 years,14034
PCT003142,Total!!Female!!35 years,SEX BY AGE,Female,35 years,14526
PCT003143,Total!!Female!!36 years,SEX BY AGE,Female,36 years,14150
PCT003144,Total!!Female!!37 years,SEX BY AGE,Female,37 years,14858
PCT003145,Total!!Female!!38 years,SEX BY AGE,Female,38 years,15361
PCT003146,Total!!Female!!39 years,SEX BY AGE,Female,39 years,16140
PCT003147,Total!!Female!!40 years,SEX BY AGE,Female,40 years,16292
PCT003148,Total!!Female!!41 years,SEX BY AGE,Female,41 years,15258
PCT003149,Total!!Female!!42 years,SEX BY AGE,Female,42 years,15783
PCT003150,Total!!Female!!43 years,SEX BY AGE,Female,43 years,15739
PCT003151,Total!!Female!!44 years,SEX BY AGE,Female,44 years,16261
PCT003152,Total!!Female!!45 years,SEX BY AGE,Female,45 years,17202
PCT003153,Total!!Female!!46 years,SEX BY AGE,Female,46 years,17434
PCT003154,Total!!Female!!47 years,SEX BY AGE,Female,47 years,17700
PCT003155,Total!!Female!!48 years,SEX BY AGE,Female,48 years,17870
PCT003156,Total!!Female!!49 years,SEX BY AGE,Female,49 years,18390
PCT003157,Total!!Female!!50 years,SEX BY AGE,Female,50 years,19259
PCT003158,Total!!Female!!51 years,SEX BY AGE,Female,51 years,18205
PCT003159,Total!!Female!!52 years,SEX BY AGE,Female,52 years,18727
PCT003160,Total!!Female!!53 years,SEX BY AGE,Female,53 years,17924
PCT003161,Total!!Female!!54 years,SEX BY AGE,Female,54 years,17707
PCT003162,Total!!Female!!55 years,SEX BY AGE,Female,55 years,17418
PCT003163,Total!!Female!!56 years,SEX BY AGE,Female,56 years,16266
PCT003164,Total!!Female!!57 years,SEX BY AGE,Female,57 years,15817
PCT003165,Total!!Female!!58 years,SEX BY AGE,Female,58 years,15240
PCT003166,Total!!Female!!59 years,SEX BY AGE,Female,59 years,14920
PCT003167,Total!!Female!!60 years,SEX BY AGE,Female,60 years,14531
PCT003168,Total!!Female!!61 years,SEX BY AGE,Female,61 years,13703
PCT003169,Total!!Female!!62 years,SEX BY AGE,Female,62 years,14172
PCT003170,Total!!Female!!63 years,SEX BY AGE,Female,63 years,13631
PCT003171,Total!!Female!!64 years,SEX BY AGE,Female,64 years,10330
PCT003172,Total!!Female!!65 years,SEX BY AGE,Female,65 years,9970
PCT003173,Total!!Female!!66 years,SEX BY AGE,Female,66 years,10240
PCT003174,Total!!Female!!67 years,SEX BY AGE,Female,67 years,10780
PCT003175,Total!!Female!!68 years,SEX BY AGE,Female,68 years,9527
PCT003176,Total!!Female!!69 years,SEX BY AGE,Female,69 years,8350
PCT003177,Total!!Female!!70 years,SEX BY AGE,Female,70 years,8154
PCT003178,Total!!Female!!71 years,SEX BY AGE,Female,71 years,8037
PCT003179,Total!!Female!!72 years,SEX BY AGE,Female,72 years,7752
PCT003180,Total!!Female!!73 years,SEX BY AGE,Female,73 years,7226
PCT003181,Total!!Female!!74 years,SEX BY AGE,Female,74 years,7190
PCT003182,Total!!Female!!75 years,SEX BY AGE,Female,75 years,6901
PCT003183,Total!!Female!!76 years,SEX BY AGE,Female,76 years,6354
PCT003184,Total!!Female!!77 years,SEX BY AGE,Female,77 years,6395
PCT003185,Total!!Female!!78 years,SEX BY AGE,Female,78 years,6504
PCT003186,Total!!Female!!79 years,SEX BY AGE,Female,79 years,6653
PCT003187,Total!!Female!!80 years,SEX BY AGE,Female,80 years,6422
PCT003188,Total!!Female!!81 years,SEX BY AGE,Female,81 years,6120
PCT003189,Total!!Female!!82 years,SEX BY AGE,Female,82 years,5872
PCT003190,Total!!Female!!83 years,SEX BY AGE,Female,83 years,5839
PCT003191,Total!!Female!!84 years,SEX BY AGE,Female,84 years,5365
PCT003192,Total!!Female!!85 years,SEX BY AGE,Female,85 years,5141
PCT003193,Total!!Female!!86 years,SEX BY AGE,Female,86 years,4742
PCT003194,Total!!Female!!87 years,SEX BY AGE,Female,87 years,4121
PCT003195,Total!!Female!!88 years,SEX BY AGE,Female,88 years,3846
PCT003196,Total!!Female!!89 years,SEX BY AGE,Female,89 years,3294
PCT003197,Total!!Female!!90 years,SEX BY AGE,Female,90 years,2668
PCT003198,Total!!Female!!91 years,SEX BY AGE,Female,91 years,2275
PCT003199,Total!!Female!!92 years,SEX BY AGE,Female,92 years,1903
PCT003200,Total!!Female!!93 years,SEX BY AGE,Female,93 years,1441
PCT003201,Total!!Female!!94 years,SEX BY AGE,Female,94 years,1144
PCT003202,Total!!Female!!95 years,SEX BY AGE,Female,95 years,1012
PCT003203,Total!!Female!!96 years,SEX BY AGE,Female,96 years,688
PCT003204,Total!!Female!!97 years,SEX BY AGE,Female,97 years,506
PCT003205,Total!!Female!!98 years,SEX BY AGE,Female,98 years,312
PCT003206,Total!!Female!!99 years,SEX BY AGE,Female,99 years,242
PCT003207,Total!!Female!!100 to 104 years,SEX BY AGE,Female,100 to 104 years,370
PCT003208,Total!!Female!!105 to 109 years,SEX BY AGE,Female,105 to 109 years,21
PCT003209,Total!!Female!!110 years and over,SEX BY AGE,Female,110 years and over,2
