census_name,clean_name,census_place_code,race_ethnicity,population
"Cook County (part), Oak Park village, Illinois",Oak Park,54885,Hispanic/Latino,5080
"Cook County (part), Oak Park village, Illinois",Oak Park,54885,Non-Hispanic Asian,2944
"Cook County (part), Oak Park village, Illinois",Oak Park,54885,Non-Hispanic Black,10200
"Cook County (part), Oak Park village, Illinois",Oak Park,54885,Non-Hispanic Multiracial,3187
"Cook County (part), Oak Park village, Illinois",Oak Park,54885,Non-Hispanic Other,326
"Cook County (part), Oak Park village, Illinois",Oak Park,54885,Non-Hispanic White,32846
"Cook County (part), Olympia Fields village, Illinois",Olympia Fields,55938,Hispanic/Latino,147
"Cook County (part), Olympia Fields village, Illinois",Olympia Fields,55938,Non-Hispanic Asian,67
"Cook County (part), Olympia Fields village, Illinois",Olympia Fields,55938,Non-Hispanic Black,3648
"Cook County (part), Olympia Fields village, Illinois",Olympia Fields,55938,Non-Hispanic Multiracial,115
"Cook County (part), Olympia Fields village, Illinois",Olympia Fields,55938,Non-Hispanic Other,36
"Cook County (part), Olympia Fields village, Illinois",Olympia Fields,55938,Non-Hispanic White,705
"Cook County (part), Orland Hills village, Illinois",Orland Hills,56627,Hispanic/Latino,854
"Cook County (part), Orland Hills village, Illinois",Orland Hills,56627,Non-Hispanic Asian,336
"Cook County (part), Orland Hills village, Illinois",Orland Hills,56627,Non-Hispanic Black,604
"Cook County (part), Orland Hills village, Illinois",Orland Hills,56627,Non-Hispanic Multiracial,183
"Cook County (part), Orland Hills village, Illinois",Orland Hills,56627,Non-Hispanic Other,19
"Cook County (part), Orland Hills village, Illinois",Orland Hills,56627,Non-Hispanic White,4897
"Cook County (part), Orland Park village, Illinois",Orland Park,56640,Hispanic/Latino,4656
"Cook County (part), Orland Park village, Illinois",Orland Park,56640,Non-Hispanic Asian,3131
"Cook County (part), Orland Park village, Illinois",Orland Park,56640,Non-Hispanic Black,1984
"Cook County (part), Orland Park village, Illinois",Orland Park,56640,Non-Hispanic Multiracial,1373
"Cook County (part), Orland Park village, Illinois",Orland Park,56640,Non-Hispanic Other,217
"Cook County (part), Orland Park village, Illinois",Orland Park,56640,Non-Hispanic White,46983
"Cook County (part), Palatine village, Illinois",Palatine,57225,Hispanic/Latino,13305
"Cook County (part), Palatine village, Illinois",Palatine,57225,Non-Hispanic Asian,8754
"Cook County (part), Palatine village, Illinois",Palatine,57225,Non-Hispanic Black,2024
"Cook County (part), Palatine village, Illinois",Palatine,57225,Non-Hispanic Multiracial,1863
"Cook County (part), Palatine village, Illinois",Palatine,57225,Non-Hispanic Other,289
"Cook County (part), Palatine village, Illinois",Palatine,57225,Non-Hispanic White,41673
"Cook County (part), Palos Heights city, Illinois",Palos Heights,57381,Hispanic/Latino,646
"Cook County (part), Palos Heights city, Illinois",Palos Heights,57381,Non-Hispanic Asian,224
"Cook County (part), Palos Heights city, Illinois",Palos Heights,57381,Non-Hispanic Black,196
"Cook County (part), Palos Heights city, Illinois",Palos Heights,57381,Non-Hispanic Multiracial,235
"Cook County (part), Palos Heights city, Illinois",Palos Heights,57381,Non-Hispanic Other,33
"Cook County (part), Palos Heights city, Illinois",Palos Heights,57381,Non-Hispanic White,10734
"Cook County (part), Palos Hills city, Illinois",Palos Hills,57394,Hispanic/Latino,1889
"Cook County (part), Palos Hills city, Illinois",Palos Hills,57394,Non-Hispanic Asian,392
"Cook County (part), Palos Hills city, Illinois",Palos Hills,57394,Non-Hispanic Black,1040
"Cook County (part), Palos Hills city, Illinois",Palos Hills,57394,Non-Hispanic Multiracial,386
"Cook County (part), Palos Hills city, Illinois",Palos Hills,57394,Non-Hispanic Other,94
"Cook County (part), Palos Hills city, Illinois",Palos Hills,57394,Non-Hispanic White,14729
"Cook County (part), Palos Park village, Illinois",Palos Park,57407,Hispanic/Latino,346
"Cook County (part), Palos Park village, Illinois",Palos Park,57407,Non-Hispanic Asian,102
"Cook County (part), Palos Park village, Illinois",Palos Park,57407,Non-Hispanic Black,69
"Cook County (part), Palos Park village, Illinois",Palos Park,57407,Non-Hispanic Multiracial,112
"Cook County (part), Palos Park village, Illinois",Palos Park,57407,Non-Hispanic Other,23
"Cook County (part), Palos Park village, Illinois",Palos Park,57407,Non-Hispanic White,4247
"Cook County (part), Park Forest village, Illinois",Park Forest,57732,Hispanic/Latino,1464
"Cook County (part), Park Forest village, Illinois",Park Forest,57732,Non-Hispanic Asian,126
"Cook County (part), Park Forest village, Illinois",Park Forest,57732,Non-Hispanic Black,12729
"Cook County (part), Park Forest village, Illinois",Park Forest,57732,Non-Hispanic Multiracial,700
"Cook County (part), Park Forest village, Illinois",Park Forest,57732,Non-Hispanic Other,141
"Cook County (part), Park Forest village, Illinois",Park Forest,57732,Non-Hispanic White,3322
"Cook County (part), Park Ridge city, Illinois",Park Ridge,57875,Hispanic/Latino,2855
"Cook County (part), Park Ridge city, Illinois",Park Ridge,57875,Non-Hispanic Asian,1913
"Cook County (part), Park Ridge city, Illinois",Park Ridge,57875,Non-Hispanic Black,204
"Cook County (part), Park Ridge city, Illinois",Park Ridge,57875,Non-Hispanic Multiracial,1093
"Cook County (part), Park Ridge city, Illinois",Park Ridge,57875,Non-Hispanic Other,147
"Cook County (part), Park Ridge city, Illinois",Park Ridge,57875,Non-Hispanic White,33444
"Cook County (part), Phoenix village, Illinois",Phoenix,59572,Hispanic/Latino,204
"Cook County (part), Phoenix village, Illinois",Phoenix,59572,Non-Hispanic Asian,4
"Cook County (part), Phoenix village, Illinois",Phoenix,59572,Non-Hispanic Black,1445
"Cook County (part), Phoenix village, Illinois",Phoenix,59572,Non-Hispanic Multiracial,19
"Cook County (part), Phoenix village, Illinois",Phoenix,59572,Non-Hispanic Other,22
"Cook County (part), Phoenix village, Illinois",Phoenix,59572,Non-Hispanic White,14
"Cook County (part), Posen village, Illinois",Posen,61314,Hispanic/Latino,3458
"Cook County (part), Posen village, Illinois",Posen,61314,Non-Hispanic Asian,31
"Cook County (part), Posen village, Illinois",Posen,61314,Non-Hispanic Black,916
"Cook County (part), Posen village, Illinois",Posen,61314,Non-Hispanic Multiracial,90
"Cook County (part), Posen village, Illinois",Posen,61314,Non-Hispanic Other,17
"Cook County (part), Posen village, Illinois",Posen,61314,Non-Hispanic White,1120
"Cook County (part), Prospect Heights city, Illinois",Prospect Heights,62016,Hispanic/Latino,4655
"Cook County (part), Prospect Heights city, Illinois",Prospect Heights,62016,Non-Hispanic Asian,1641
"Cook County (part), Prospect Heights city, Illinois",Prospect Heights,62016,Non-Hispanic Black,215
"Cook County (part), Prospect Heights city, Illinois",Prospect Heights,62016,Non-Hispanic Multiracial,273
"Cook County (part), Prospect Heights city, Illinois",Prospect Heights,62016,Non-Hispanic Other,64
"Cook County (part), Prospect Heights city, Illinois",Prospect Heights,62016,Non-Hispanic White,9210
"Cook County (part), Richton Park village, Illinois",Richton Park,63706,Hispanic/Latino,542
"Cook County (part), Richton Park village, Illinois",Richton Park,63706,Non-Hispanic Asian,94
"Cook County (part), Richton Park village, Illinois",Richton Park,63706,Non-Hispanic Black,10988
"Cook County (part), Richton Park village, Illinois",Richton Park,63706,Non-Hispanic Multiracial,291
"Cook County (part), Richton Park village, Illinois",Richton Park,63706,Non-Hispanic Other,56
"Cook County (part), Richton Park village, Illinois",Richton Park,63706,Non-Hispanic White,804
"Cook County (part), River Forest village, Illinois",River Forest,64304,Hispanic/Latino,991
"Cook County (part), River Forest village, Illinois",River Forest,64304,Non-Hispanic Asian,932
"Cook County (part), River Forest village, Illinois",River Forest,64304,Non-Hispanic Black,869
"Cook County (part), River Forest village, Illinois",River Forest,64304,Non-Hispanic Multiracial,515
"Cook County (part), River Forest village, Illinois",River Forest,64304,Non-Hispanic Other,102
"Cook County (part), River Forest village, Illinois",River Forest,64304,Non-Hispanic White,8308
"Cook County (part), River Grove village, Illinois",River Grove,64343,Hispanic/Latino,3347
"Cook County (part), River Grove village, Illinois",River Grove,64343,Non-Hispanic Asian,232
"Cook County (part), River Grove village, Illinois",River Grove,64343,Non-Hispanic Black,202
"Cook County (part), River Grove village, Illinois",River Grove,64343,Non-Hispanic Multiracial,184
"Cook County (part), River Grove village, Illinois",River Grove,64343,Non-Hispanic Other,38
"Cook County (part), River Grove village, Illinois",River Grove,64343,Non-Hispanic White,6609
"Cook County (part), Riverdale village, Illinois",Riverdale,64278,Hispanic/Latino,340
"Cook County (part), Riverdale village, Illinois",Riverdale,64278,Non-Hispanic Asian,13
"Cook County (part), Riverdale village, Illinois",Riverdale,64278,Non-Hispanic Black,9791
"Cook County (part), Riverdale village, Illinois",Riverdale,64278,Non-Hispanic Multiracial,160
"Cook County (part), Riverdale village, Illinois",Riverdale,64278,Non-Hispanic Other,58
"Cook County (part), Riverdale village, Illinois",Riverdale,64278,Non-Hispanic White,301
"Cook County (part), Riverside village, Illinois",Riverside,64421,Hispanic/Latino,1520
"Cook County (part), Riverside village, Illinois",Riverside,64421,Non-Hispanic Asian,200
"Cook County (part), Riverside village, Illinois",Riverside,64421,Non-Hispanic Black,161
"Cook County (part), Riverside village, Illinois",Riverside,64421,Non-Hispanic Multiracial,298
"Cook County (part), Riverside village, Illinois",Riverside,64421,Non-Hispanic Other,45
"Cook County (part), Riverside village, Illinois",Riverside,64421,Non-Hispanic White,7074
"Cook County (part), Robbins village, Illinois",Robbins,64616,Hispanic/Latino,346
"Cook County (part), Robbins village, Illinois",Robbins,64616,Non-Hispanic Asian,10
"Cook County (part), Robbins village, Illinois",Robbins,64616,Non-Hispanic Black,3908
"Cook County (part), Robbins village, Illinois",Robbins,64616,Non-Hispanic Multiracial,103
"Cook County (part), Robbins village, Illinois",Robbins,64616,Non-Hispanic Other,22
"Cook County (part), Robbins village, Illinois",Robbins,64616,Non-Hispanic White,240
"Cook County (part), Rolling Meadows city, Illinois",Rolling Meadows,65338,Hispanic/Latino,6113
"Cook County (part), Rolling Meadows city, Illinois",Rolling Meadows,65338,Non-Hispanic Asian,3147
"Cook County (part), Rolling Meadows city, Illinois",Rolling Meadows,65338,Non-Hispanic Black,637
"Cook County (part), Rolling Meadows city, Illinois",Rolling Meadows,65338,Non-Hispanic Multiracial,694
"Cook County (part), Rolling Meadows city, Illinois",Rolling Meadows,65338,Non-Hispanic Other,81
"Cook County (part), Rolling Meadows city, Illinois",Rolling Meadows,65338,Non-Hispanic White,13528
"Cook County (part), Roselle village, Illinois",Roselle,65806,Hispanic/Latino,335
"Cook County (part), Roselle village, Illinois",Roselle,65806,Non-Hispanic Asian,913
"Cook County (part), Roselle village, Illinois",Roselle,65806,Non-Hispanic Black,135
"Cook County (part), Roselle village, Illinois",Roselle,65806,Non-Hispanic Multiracial,85
"Cook County (part), Roselle village, Illinois",Roselle,65806,Non-Hispanic Other,22
"Cook County (part), Roselle village, Illinois",Roselle,65806,Non-Hispanic White,2461
"Cook County (part), Rosemont village, Illinois",Rosemont,65819,Hispanic/Latino,1561
"Cook County (part), Rosemont village, Illinois",Rosemont,65819,Non-Hispanic Asian,196
"Cook County (part), Rosemont village, Illinois",Rosemont,65819,Non-Hispanic Black,101
"Cook County (part), Rosemont village, Illinois",Rosemont,65819,Non-Hispanic Multiracial,92
"Cook County (part), Rosemont village, Illinois",Rosemont,65819,Non-Hispanic Other,8
"Cook County (part), Rosemont village, Illinois",Rosemont,65819,Non-Hispanic White,1994
"Cook County (part), Sauk Village village, Illinois",Sauk Village,67769,Hispanic/Latino,1328
"Cook County (part), Sauk Village village, Illinois",Sauk Village,67769,Non-Hispanic Asian,41
"Cook County (part), Sauk Village village, Illinois",Sauk Village,67769,Non-Hispanic Black,6674
"Cook County (part), Sauk Village village, Illinois",Sauk Village,67769,Non-Hispanic Multiracial,364
"Cook County (part), Sauk Village village, Illinois",Sauk Village,67769,Non-Hispanic Other,78
"Cook County (part), Sauk Village village, Illinois",Sauk Village,67769,Non-Hispanic White,1436
"Cook County (part), Schaumburg village, Illinois",Schaumburg,68003,Hispanic/Latino,8263
"Cook County (part), Schaumburg village, Illinois",Schaumburg,68003,Non-Hispanic Asian,20767
"Cook County (part), Schaumburg village, Illinois",Schaumburg,68003,Non-Hispanic Black,3266
"Cook County (part), Schaumburg village, Illinois",Schaumburg,68003,Non-Hispanic Multiracial,2304
"Cook County (part), Schaumburg village, Illinois",Schaumburg,68003,Non-Hispanic Other,384
"Cook County (part), Schaumburg village, Illinois",Schaumburg,68003,Non-Hispanic White,43739
"Cook County (part), Schiller Park village, Illinois",Schiller Park,68081,Hispanic/Latino,3629
"Cook County (part), Schiller Park village, Illinois",Schiller Park,68081,Non-Hispanic Asian,803
"Cook County (part), Schiller Park village, Illinois",Schiller Park,68081,Non-Hispanic Black,164
"Cook County (part), Schiller Park village, Illinois",Schiller Park,68081,Non-Hispanic Multiracial,188
"Cook County (part), Schiller Park village, Illinois",Schiller Park,68081,Non-Hispanic Other,33
"Cook County (part), Schiller Park village, Illinois",Schiller Park,68081,Non-Hispanic White,6892
"Cook County (part), Skokie village, Illinois",Skokie,70122,Hispanic/Latino,7185
"Cook County (part), Skokie village, Illinois",Skokie,70122,Non-Hispanic Asian,18726
"Cook County (part), Skokie village, Illinois",Skokie,70122,Non-Hispanic Black,5256
"Cook County (part), Skokie village, Illinois",Skokie,70122,Non-Hispanic Multiracial,2457
"Cook County (part), Skokie village, Illinois",Skokie,70122,Non-Hispanic Other,503
"Cook County (part), Skokie village, Illinois",Skokie,70122,Non-Hispanic White,33697
"Cook County (part), South Barrington village, Illinois",South Barrington,70564,Hispanic/Latino,161
"Cook County (part), South Barrington village, Illinois",South Barrington,70564,Non-Hispanic Asian,2041
"Cook County (part), South Barrington village, Illinois",South Barrington,70564,Non-Hispanic Black,39
"Cook County (part), South Barrington village, Illinois",South Barrington,70564,Non-Hispanic Multiracial,159
"Cook County (part), South Barrington village, Illinois",South Barrington,70564,Non-Hispanic Other,5
"Cook County (part), South Barrington village, Illinois",South Barrington,70564,Non-Hispanic White,2672
"Cook County (part), South Chicago Heights village, Illinois",South Chicago Heights,70629,Hispanic/Latino,1900
"Cook County (part), South Chicago Heights village, Illinois",South Chicago Heights,70629,Non-Hispanic Asian,65
"Cook County (part), South Chicago Heights village, Illinois",South Chicago Heights,70629,Non-Hispanic Black,671
"Cook County (part), South Chicago Heights village, Illinois",South Chicago Heights,70629,Non-Hispanic Multiracial,104
"Cook County (part), South Chicago Heights village, Illinois",South Chicago Heights,70629,Non-Hispanic Other,16
"Cook County (part), South Chicago Heights village, Illinois",South Chicago Heights,70629,Non-Hispanic White,1270
"Cook County (part), South Holland village, Illinois",South Holland,70850,Hispanic/Latino,1417
"Cook County (part), South Holland village, Illinois",South Holland,70850,Non-Hispanic Asian,87
"Cook County (part), South Holland village, Illinois",South Holland,70850,Non-Hispanic Black,17277
"Cook County (part), South Holland village, Illinois",South Holland,70850,Non-Hispanic Multiracial,478
"Cook County (part), South Holland village, Illinois",South Holland,70850,Non-Hispanic Other,112
"Cook County (part), South Holland village, Illinois",South Holland,70850,Non-Hispanic White,2094
"Cook County (part), Steger village, Illinois",Steger,72520,Hispanic/Latino,1000
"Cook County (part), Steger village, Illinois",Steger,72520,Non-Hispanic Asian,61
"Cook County (part), Steger village, Illinois",Steger,72520,Non-Hispanic Black,751
"Cook County (part), Steger village, Illinois",Steger,72520,Non-Hispanic Multiracial,163
"Cook County (part), Steger village, Illinois",Steger,72520,Non-Hispanic Other,28
"Cook County (part), Steger village, Illinois",Steger,72520,Non-Hispanic White,2115
"Cook County (part), Stickney village, Illinois",Stickney,72676,Hispanic/Latino,4568
"Cook County (part), Stickney village, Illinois",Stickney,72676,Non-Hispanic Asian,91
"Cook County (part), Stickney village, Illinois",Stickney,72676,Non-Hispanic Black,168
"Cook County (part), Stickney village, Illinois",Stickney,72676,Non-Hispanic Multiracial,122
"Cook County (part), Stickney village, Illinois",Stickney,72676,Non-Hispanic Other,50
"Cook County (part), Stickney village, Illinois",Stickney,72676,Non-Hispanic White,2111
"Cook County (part), Stone Park village, Illinois",Stone Park,72923,Hispanic/Latino,4087
"Cook County (part), Stone Park village, Illinois",Stone Park,72923,Non-Hispanic Asian,44
"Cook County (part), Stone Park village, Illinois",Stone Park,72923,Non-Hispanic Black,134
"Cook County (part), Stone Park village, Illinois",Stone Park,72923,Non-Hispanic Multiracial,22
"Cook County (part), Stone Park village, Illinois",Stone Park,72923,Non-Hispanic Other,9
"Cook County (part), Stone Park village, Illinois",Stone Park,72923,Non-Hispanic White,280
"Cook County (part), Streamwood village, Illinois",Streamwood,73157,Hispanic/Latino,13365
"Cook County (part), Streamwood village, Illinois",Streamwood,73157,Non-Hispanic Asian,6291
"Cook County (part), Streamwood village, Illinois",Streamwood,73157,Non-Hispanic Black,2251
"Cook County (part), Streamwood village, Illinois",Streamwood,73157,Non-Hispanic Multiracial,963
"Cook County (part), Streamwood village, Illinois",Streamwood,73157,Non-Hispanic Other,144
"Cook County (part), Streamwood village, Illinois",Streamwood,73157,Non-Hispanic White,16563
"Cook County (part), Summit village, Illinois",Summit,73638,Hispanic/Latino,8120
"Cook County (part), Summit village, Illinois",Summit,73638,Non-Hispanic Asian,222
"Cook County (part), Summit village, Illinois",Summit,73638,Non-Hispanic Black,852
"Cook County (part), Summit village, Illinois",Summit,73638,Non-Hispanic Multiracial,115
"Cook County (part), Summit village, Illinois",Summit,73638,Non-Hispanic Other,61
"Cook County (part), Summit village, Illinois",Summit,73638,Non-Hispanic White,1791
"Cook County (part), Thornton village, Illinois",Thornton,75185,Hispanic/Latino,442
"Cook County (part), Thornton village, Illinois",Thornton,75185,Non-Hispanic Asian,9
"Cook County (part), Thornton village, Illinois",Thornton,75185,Non-Hispanic Black,528
"Cook County (part), Thornton village, Illinois",Thornton,75185,Non-Hispanic Multiracial,71
"Cook County (part), Thornton village, Illinois",Thornton,75185,Non-Hispanic Other,11
"Cook County (part), Thornton village, Illinois",Thornton,75185,Non-Hispanic White,1325
"Cook County (part), Tinley Park village, Illinois",Tinley Park,75484,Hispanic/Latino,4105
"Cook County (part), Tinley Park village, Illinois",Tinley Park,75484,Non-Hispanic Asian,1776
"Cook County (part), Tinley Park village, Illinois",Tinley Park,75484,Non-Hispanic Black,3109
"Cook County (part), Tinley Park village, Illinois",Tinley Park,75484,Non-Hispanic Multiracial,1206
"Cook County (part), Tinley Park village, Illinois",Tinley Park,75484,Non-Hispanic Other,122
"Cook County (part), Tinley Park village, Illinois",Tinley Park,75484,Non-Hispanic White,37951
"Cook County (part), University Park village, Illinois",University Park,76935,Hispanic/Latino,7
"Cook County (part), University Park village, Illinois",University Park,76935,Non-Hispanic Asian,0
"Cook County (part), University Park village, Illinois",University Park,76935,Non-Hispanic Black,286
"Cook County (part), University Park village, Illinois",University Park,76935,Non-Hispanic Multiracial,11
"Cook County (part), University Park village, Illinois",University Park,76935,Non-Hispanic Other,4
"Cook County (part), University Park village, Illinois",University Park,76935,Non-Hispanic White,9
"Cook County (part), Westchester village, Illinois",Westchester,80047,Hispanic/Latino,3550
"Cook County (part), Westchester village, Illinois",Westchester,80047,Non-Hispanic Asian,687
"Cook County (part), Westchester village, Illinois",Westchester,80047,Non-Hispanic Black,3311
"Cook County (part), Westchester village, Illinois",Westchester,80047,Non-Hispanic Multiracial,396
"Cook County (part), Westchester village, Illinois",Westchester,80047,Non-Hispanic Other,71
"Cook County (part), Westchester village, Illinois",Westchester,80047,Non-Hispanic White,8877
"Cook County (part), Western Springs village, Illinois",Western Springs,80242,Hispanic/Latino,624
"Cook County (part), Western Springs village, Illinois",Western Springs,80242,Non-Hispanic Asian,246
"Cook County (part), Western Springs village, Illinois",Western Springs,80242,Non-Hispanic Black,57
"Cook County (part), Western Springs village, Illinois",Western Springs,80242,Non-Hispanic Multiracial,362
"Cook County (part), Western Springs village, Illinois",Western Springs,80242,Non-Hispanic Other,31
"Cook County (part), Western Springs village, Illinois",Western Springs,80242,Non-Hispanic White,12309
"Cook County (part), Wheeling village, Illinois",Wheeling,81087,Hispanic/Latino,13047
"Cook County (part), Wheeling village, Illinois",Wheeling,81087,Non-Hispanic Asian,6506
"Cook County (part), Wheeling village, Illinois",Wheeling,81087,Non-Hispanic Black,885
"Cook County (part), Wheeling village, Illinois",Wheeling,81087,Non-Hispanic Multiracial,694
"Cook County (part), Wheeling village, Illinois",Wheeling,81087,Non-Hispanic Other,200
"Cook County (part), Wheeling village, Illinois",Wheeling,81087,Non-Hispanic White,17805
"Cook County (part), Willow Springs village, Illinois",Willow Springs,82049,Hispanic/Latino,715
"Cook County (part), Willow Springs village, Illinois",Willow Springs,82049,Non-Hispanic Asian,202
"Cook County (part), Willow Springs village, Illinois",Willow Springs,82049,Non-Hispanic Black,77
"Cook County (part), Willow Springs village, Illinois",Willow Springs,82049,Non-Hispanic Multiracial,154
"Cook County (part), Willow Springs village, Illinois",Willow Springs,82049,Non-Hispanic Other,30
"Cook County (part), Willow Springs village, Illinois",Willow Springs,82049,Non-Hispanic White,4679
"Cook County (part), Wilmette village, Illinois",Wilmette,82075,Hispanic/Latino,1390
"Cook County (part), Wilmette village, Illinois",Wilmette,82075,Non-Hispanic Asian,3297
"Cook County (part), Wilmette village, Illinois",Wilmette,82075,Non-Hispanic Black,232
"Cook County (part), Wilmette village, Illinois",Wilmette,82075,Non-Hispanic Multiracial,1233
"Cook County (part), Wilmette village, Illinois",Wilmette,82075,Non-Hispanic Other,139
"Cook County (part), Wilmette village, Illinois",Wilmette,82075,Non-Hispanic White,21879
"Cook County (part), Winnetka village, Illinois",Winnetka,82530,Hispanic/Latino,511
"Cook County (part), Winnetka village, Illinois",Winnetka,82530,Non-Hispanic Asian,444
"Cook County (part), Winnetka village, Illinois",Winnetka,82530,Non-Hispanic Black,29
"Cook County (part), Winnetka village, Illinois",Winnetka,82530,Non-Hispanic Multiracial,449
"Cook County (part), Winnetka village, Illinois",Winnetka,82530,Non-Hispanic Other,54
"Cook County (part), Winnetka village, Illinois",Winnetka,82530,Non-Hispanic White,11257
"Cook County (part), Woodridge village, Illinois",Woodridge,83245,Hispanic/Latino,0
"Cook County (part), Woodridge village, Illinois",Woodridge,83245,Non-Hispanic Asian,0
"Cook County (part), Woodridge village, Illinois",Woodridge,83245,Non-Hispanic Black,0
"Cook County (part), Woodridge village, Illinois",Woodridge,83245,Non-Hispanic Multiracial,0
"Cook County (part), Woodridge village, Illinois",Woodridge,83245,Non-Hispanic Other,0
"Cook County (part), Woodridge village, Illinois",Woodridge,83245,Non-Hispanic White,0
"Cook County (part), Worth village, Illinois",Worth,83518,Hispanic/Latino,1708
"Cook County (part), Worth village, Illinois",Worth,83518,Non-Hispanic Asian,242
"Cook County (part), Worth village, Illinois",Worth,83518,Non-Hispanic Black,466
"Cook County (part), Worth village, Illinois",Worth,83518,Non-Hispanic Multiracial,344
"Cook County (part), Worth village, Illinois",Worth,83518,Non-Hispanic Other,72
"Cook County (part), Worth village, Illinois",Worth,83518,Non-Hispanic White,8138
