"zcta","med_inc","inc_lowest_quint_ul","inc_second_quint_ul","inc_third_quint_ul","inc_fourth_quint_ul","inc_top5_pct_ll","inc_ineq_ratio","gini_coef"
"60429",54717,23613,41957,65723,92306,161119,3.90911785880659,0.4805
"60461",100074,39154,86650,120857,176292,250001,4.50252847729478,0.4049
"60462",84393,37745,68633,103681,147538,250001,3.90880911378991,0.4123
"60466",54155,24392,43991,61806,95692,141112,3.9230895375533,0.3954
"60471",62946,20336,47331,72508,115276,170943,5.66856805664831,0.4249
"60472",27078,9966,21349,42548,71480,120464,7.17238611278346,0.4805
"60026",119198,50220,93792,143438,243259,250001,4.84386698526483,0.5099
"60133",76794,38581,62999,89680,122033,189214,3.16303361758378,0.3574
"60169",77936,38106,64477,91424,136083,214936,3.5711698945048,0.377
"60428",43466,21079,34779,53546,92283,156083,4.37795910621946,0.4493
"60487",100313,53241,82330,123390,170784,244712,3.20775342311377,0.3393
"60422",117656,54894,94500,143194,215250,250001,3.92119357306809,0.4137
"60425",63512,25551,50745,78263,112713,161734,4.41129505694493,0.3786
"60456",50548,25819,43469,57148,84672,120538,3.27944536968899,0.3472
"60473",63157,28512,52231,80518,116955,175118,4.10195707070707,0.4121
"60476",64779,24788,46409,80643,110100,144202,4.44166532192997,0.3972
"60477",69419,33716,59282,82868,127935,195943,3.7944892632578,0.3951
"60523",101250,28674,76280,136924,250001,250001,8.71873474227523,0.5831
"60604",91750,31182,81769,160138,192786,250001,6.18260534923995,0.5604
"60612",43545,11347,30376,60521,107111,207615,9.43958755618225,0.5531
"60613",84318,35154,64599,103787,170418,250001,4.84775558969107,0.4918
"60617",41125,17259,31613,52979,87959,142621,5.09641346543832,0.4611
"60618",78704,33907,61297,99019,165652,250001,4.88548087415578,0.4843
"60624",23429,9276,17458,31402,58907,109457,6.35047434238896,0.5303
"60626",42747,15772,34061,53817,89964,176446,5.70403246259194,0.4823
"60630",73212,30942,57585,91357,140143,224733,4.52921595242712,0.4261
"60632",44924,22874,36965,55083,87623,153669,3.83068112267203,0.4203
"60645",57572,24526,44623,72669,123450,218500,5.03343390687434,0.4834
"60653",31093,10194,21011,45469,86827,174931,8.5174612517167,0.5883
"60521",196964,70804,147068,250001,250001,250001,3.5308880854189,0.5101
"60525",91692,36167,70561,119524,192640,250001,5.32640252163575,0.4984
"60654",122492,56787,100717,154431,249711,250001,4.39732685297691,0.4826
"60657",95173,43662,76405,120782,202033,250001,4.62720443406166,0.4961
"60659",52239,23846,43154,67863,108395,199856,4.54562610081355,0.4497
"60707",61718,23101,48876,82803,128466,202059,5.56105796285875,0.4506
"60714",64790,26435,49832,81881,132656,213083,5.01819557404956,0.44
"60804",49412,25790,41560,58854,92889,146188,3.60174486234975,0.4053
"60056",79204,34721,61871,97698,149431,250001,4.3037642925031,0.4413
"60193",83049,41409,67292,98611,138657,227006,3.34847496920959,0.3714
"60464",101811,32215,77417,126188,201086,250001,6.24199906875679,0.4504
"60107",80412,39005,66599,95269,133324,211792,3.41812588129727,0.3674
"60143",97204,48155,81015,115438,162988,250001,3.3846537223549,0.3885
"60491",107011,48683,87297,129782,186104,250001,3.82277180946121,0.3915
"60527",103123,38864,74727,123300,217336,250001,5.59221902017291,0.538
"60642",112241,46734,88392,136269,192441,250001,4.11779432533059,0.4228
"60656",64440,27379,53728,80242,129242,212503,4.72047919938639,0.4285
"60141",NA,NA,NA,NA,NA,NA,NA,NA
"60546",80523,35708,67833,96031,157000,250001,4.39677383219447,0.4699
"60628",41169,15710,31688,51601,85004,146264,5.41082113303628,0.4849
"60480",81771,32018,72098,96714,171250,250001,5.34855393840964,0.4335
"60641",63545,27400,50742,78971,125715,219155,4.58813868613139,0.4551
"60803",62045,28669,50091,73965,107272,169675,3.74174195123653,0.3899
"60164",61109,25994,48101,75413,106919,166059,4.11321843502347,0.391
"60173",85862,44556,70027,97306,148131,250001,3.32460274710477,0.4201
"60077",65456,27893,49190,80821,126491,208951,4.53486537841035,0.4537
"60089",116050,52085,94632,136651,207352,250001,3.98103100700778,0.4114
"60110",69572,33880,56778,86596,125736,216801,3.7112160566706,0.4045
"60118",90401,42574,70786,106448,166098,250001,3.90139521773853,0.4277
"60010",143340,58581,111228,180567,250001,250001,4.26761236578413,0.4621
"60016",64195,27520,53075,82239,127309,206681,4.62605377906977,0.4355
"60022",248243,75632,181778,250001,250001,250001,3.30549238417601,0.5274
"60035",150226,57794,112161,185924,250001,250001,4.32572585389487,0.526
"60106",64700,28195,52315,79395,118500,179954,4.20287284979606,0.4033
"60154",86623,39811,73201,103166,142302,203925,3.57443922533973,0.3606
"60029",235000,105500,193000,250001,250001,250001,2.36967772511848,0.4242
"60131",64128,28036,51722,78832,118145,160789,4.2140462262805,0.3905
"60165",59778,25401,43338,68296,96700,140615,3.80693673477422,0.3566
"60192",122785,69199,107280,142630,200786,250001,2.90157372216362,0.3615
"60202",79414,32371,63184,98658,166647,250001,5.14803373389762,0.5047
"60411",47769,17791,36310,59306,96953,153365,5.44955314484852,0.4707
"60601",103112,42777,86737,127359,223625,250001,5.22769245155107,0.5365
"60608",50133,20518,37835,63192,106785,185793,5.20445462520714,0.4651
"60441",79180,36046,63766,97852,142695,214766,3.95869167175276,0.385
"60409",44444,19082,33601,54653,83226,137610,4.36149250602662,0.4218
"60417",75727,32006,60261,89566,135188,211708,4.22383303130663,0.4036
"60426",33182,12527,25487,43884,68647,133882,5.47992336553045,0.5033
"60449",80826,49164,70185,99951,150193,223141,3.05493857293955,0.3589
"60452",77054,38874,63769,92754,130257,197297,3.35074857231054,0.37
"60453",64509,28677,52249,81844,127633,203310,4.45070962792482,0.4205
"60620",36767,14024,27536,47348,80195,128383,5.71841129492299,0.473
"60634",70083,29375,54866,85962,126697,194928,4.31308936170213,0.4256
"60637",28965,9233,20822,40771,81689,198859,8.84750351998267,0.636
"60644",26900,10146,20465,35823,63908,128514,6.29883698009068,0.5246
"60605",111438,46740,86903,137071,212532,250001,4.54711168164313,0.4948
"60606",140558,76551,117167,171962,250001,250001,3.26580972162349,0.4614
"60623",32460,16528,26014,41359,67147,121110,4.06262100677638,0.4402
"60629",43506,21409,34833,54762,91125,150925,4.25638750058387,0.4366
"60633",51538,16382,39053,66868,103958,157792,6.34586741545599,0.4377
"60638",68089,32009,56266,85154,124604,193323,3.89278015558124,0.3995
"60640",57221,20110,43001,74343,127319,236468,6.33112879164595,0.5043
"60649",31921,9738,22441,41401,74014,139844,7.60053399055248,0.5604
"60655",102813,45833,88212,119959,173911,247063,3.79444941417756,0.3715
"60661",120000,63545,101086,146188,216184,250001,3.40206153119836,0.4222
"60827",32329,9846,25675,43919,74832,128645,7.60024375380865,0.5216
"60631",93989,33613,73233,112526,176402,250001,5.24802903638473,0.4635
"60005",84383,31460,66729,105312,158547,250001,5.03963763509218,0.4718
"60015",146380,57303,117575,173964,250001,250001,4.36279077884229,0.4726
"60018",64429,30266,52746,80111,119307,188444,3.94194806052997,0.4074
"60068",111740,46453,90148,142170,216346,250001,4.6573095386735,0.4421
"60415",48750,24491,37608,58858,93395,137693,3.8134416724511,0.388
"60439",99882,42308,82234,126807,187942,250001,4.44223314739529,0.425
"60455",55637,22778,42923,64778,96509,190063,4.23693915181315,0.4395
"60475",49080,20885,38562,61778,100132,154143,4.79444577447929,0.4151
"60458",51062,24480,40954,61346,96954,173063,3.96053921568627,0.4333
"60459",62654,30247,50737,77407,113377,205533,3.74837173934605,0.4283
"60465",61143,28889,49161,75682,121250,217344,4.19709924192599,0.4282
"60469",40885,14074,32592,51376,80695,143596,5.73362228222254,0.4678
"60614",117138,49265,90920,143219,248934,250001,5.05295848980006,0.5324
"60615",45077,13429,32188,60576,108285,231897,8.06351924938566,0.5628
"60619",35629,12150,26087,47378,80933,143373,6.66115226337449,0.4954
"60621",22158,8782,16880,29065,50896,95269,5.79549077658848,0.5291
"60636",26724,13996,21543,34947,58185,111059,4.15725921691912,0.4871
"60639",46107,21293,37531,57541,91777,157354,4.31019583900812,0.4661
"60643",65631,25567,50053,82997,133919,246152,5.23796299917863,0.4887
"60647",78413,30257,60995,98809,155520,250001,5.13996761080081,0.4849
"60004",99701,48428,81277,118882,181867,250001,3.75541009333443,0.4173
"60043",227404,95233,176714,250001,250001,250001,2.62515094557559,0.4742
"60093",194750,66906,146281,250001,250001,250001,3.73660060383224,0.5378
"60130",62664,26924,49184,77495,122726,237600,4.55823800326846,0.4571
"60191",69738,39588,58116,86112,128277,218267,3.24030009093665,0.4109
"60195",88500,46882,74743,92316,127382,194100,2.7170769165138,0.345
"60163",64399,33324,50260,78774,126606,218538,3.79924378826071,0.3958
"60171",59814,22696,46368,76064,110337,182388,4.86151744800846,0.4137
"60194",81630,39087,69543,93697,142760,215707,3.65236523652365,0.3959
"60305",129928,64068,107940,174971,250001,250001,3.90211962290067,0.5223
"60423",115653,57431,96590,135081,190184,250001,3.31152165206944,0.375
"60047",141285,69462,117916,174024,250001,250001,3.59910454637068,0.4186
"60070",72179,31186,55045,87000,136570,250001,4.37920861925223,0.4747
"60008",71403,38355,58458,91573,137028,246299,3.57262416894799,0.4176
"60160",50853,23448,41568,62699,93746,161236,3.99803821221426,0.4182
"60091",164556,62360,121888,202276,250001,250001,4.00899615137909,0.5062
"60430",74138,31161,58070,88072,128510,204610,4.12406533808286,0.4107
"60603",146250,26333,86167,162025,250001,250001,9.49382903581058,0.6121
"60053",85360,33731,65982,102014,152703,238187,4.52708191278053,0.4219
"60478",61929,29060,52051,81533,109710,167113,3.77529249827942,0.3869
"60501",53258,23562,41633,65281,97342,185325,4.13131313131313,0.4245
"60513",82337,36916,70564,99460,144694,213318,3.91954707985697,0.3844
"60526",105120,44637,86960,122065,192167,250001,4.30510562985864,0.4182
"60534",60601,26180,45382,69984,102939,148881,3.93197097020626,0.4306
"60607",102726,29778,82345,135079,202171,250001,6.78927396064208,0.4918
"60609",37353,17153,28350,46841,78000,149448,4.54730950854078,0.4647
"60625",68770,29510,53834,87476,136253,245300,4.61718061674009,0.4597
"60646",95593,30413,69958,117787,182617,250001,6.00457041396771,0.5006
"60652",70702,27220,57239,83772,121432,181583,4.46113152094049,0.3911
"60805",75657,35853,61009,91915,131521,204047,3.66834016679218,0.3994
"60007",82234,39721,67123,97314,143510,244754,3.61295032854158,0.397
"60172",90947,41951,72781,106089,157750,224319,3.76033944363662,0.3794
"60176",54099,24347,42695,61199,102175,143467,4.19661559945784,0.4088
"60203",123636,53722,103828,141833,247917,250001,4.61481329809017,0.4477
"60301",85879,28820,71679,92050,147148,250001,5.105759888966,0.478
"60302",89533,30483,66007,119420,211795,250001,6.94797100022964,0.5147
"60304",115374,50150,92302,135077,191453,250001,3.81760717846461,0.4277
"60201",78250,22242,55825,107872,217024,250001,9.75739591763331,0.5869
"60402",63087,28528,49084,77519,108227,189453,3.79371144139091,0.4061
"60406",47475,20381,35534,56690,85742,134998,4.20695746037977,0.4206
"60419",46658,18290,37549,61928,93036,150095,5.0867140513942,0.4356
"60438",53490,23519,44362,66868,101956,167843,4.33504825885454,0.4293
"60443",77934,26187,57803,93084,135075,186122,5.15809371061977,0.4258
"60445",60765,25430,47907,72410,110291,163889,4.33704286276052,0.396
"60457",65226,27492,51258,78622,117161,186384,4.26163974974538,0.4309
"60610",92130,34060,75017,121529,201832,250001,5.92577803875514,0.5359
"60622",101161,42008,79897,125176,195954,250001,4.66468291753952,0.4798
"60660",50966,20496,40476,65327,112060,217178,5.46740827478532,0.4921
"60706",68808,27386,52176,82599,130630,214125,4.76995545169065,0.44
"60712",95030,37912,71318,116554,178323,250001,4.70360308081874,0.4716
"60602",191528,120725,169577,209033,250001,250001,2.07083039966867,0.424
"60076",77157,34608,63300,101146,156944,250001,4.53490522422561,0.4573
"60090",68615,32379,55516,84752,128432,209672,3.9665215108558,0.4167
"60103",109323,51720,90483,128340,176025,250001,3.4034222737819,0.3651
"60126",117258,51241,92516,145249,230981,250001,4.50773794422435,0.4631
"60155",54219,30155,44311,68982,102060,151483,3.38451334770353,0.4121
"60067",105294,44562,82902,131985,201159,250001,4.51413760603204,0.4563
"60025",100557,36371,77387,129047,223479,250001,6.14442825327871,0.5175
"60062",112090,43155,89299,140961,230770,250001,5.3474684277604,0.4902
"60074",68613,32571,54992,84157,135828,220050,4.17021276595745,0.4219
"60104",56618,26681,44791,69323,95475,169962,3.57838911585023,0.4586
"60120",61470,29222,48907,75934,110192,189101,3.77085757306139,0.4008
"60153",50176,19810,40543,62550,100137,152988,5.05487127713276,0.4278
"60162",57643,27052,48541,70345,109750,175212,4.05700133077037,0.4204
"60448",107204,56780,92238,127048,183492,250001,3.23163085593519,0.3777
"60463",88915,40193,69456,110587,168538,250001,4.19321772447939,0.4269
"60467",100126,40308,80657,126288,185074,250001,4.59149548476729,0.4454
"60482",57669,23473,44598,68783,103167,164831,4.39513483576876,0.4187
"60558",174760,74458,137037,200265,250001,250001,3.35761100217572,0.4272
"60611",106906,40109,82405,138163,250001,250001,6.2330399660924,0.5452
"60616",52162,14483,35896,70624,120664,227326,8.33142304771111,0.5361
"60651",38955,16108,30377,48097,83290,146737,5.17072262229948,0.4698
